State_FIPS,time_m,cpi
5,41.0,0.19285856
5,42.0,0.19348882
5,43.0,0.19348882
5,44.0,0.19348882
5,45.0,0.19411907
5,46.0,0.19411907
5,47.0,0.19474933
5,48.0,0.19474933
5,49.0,0.19474933
5,50.0,0.19474933
5,51.0,0.19474933
5,52.0,0.19474933
5,53.0,0.19537959
5,54.0,0.19600983
5,55.0,0.19537959
5,56.0,0.19600983
5,57.0,0.19600983
5,58.0,0.1966401
5,59.0,0.1966401
5,60.0,0.1966401
5,61.0,0.1966401
5,62.0,0.19727035
5,63.0,0.19790062
5,64.0,0.19790062
5,65.0,0.19916111
5,66.0,0.19916111
5,67.0,0.19916111
5,68.0,0.19916111
5,69.0,0.19979139
5,70.0,0.19979139
5,71.0,0.20042163
5,72.0,0.20042163
5,73.0,0.20168215
5,74.0,0.20231241
5,75.0,0.20357293
5,76.0,0.20357293
5,77.0,0.20420317
5,78.0,0.20483345
5,79.0,0.20609394
5,80.0,0.20609394
5,81.0,0.20735446
5,82.0,0.20735446
5,83.0,0.20735446
5,84.0,0.20735446
5,85.0,0.20735446
5,86.0,0.20798472
5,87.0,0.20861498
5,88.0,0.20924523
5,89.0,0.20987548
5,90.0,0.21050575
5,91.0,0.211136
5,92.0,0.21176624
5,93.0,0.21239652
5,96.0,0.21491754
5,97.0,0.2155478
5,98.0,0.21617806
5,99.0,0.2168083
5,100.0,0.21743858
5,101.0,0.21869907
5,102.0,0.21995959
5,103.0,0.22058986
5,104.0,0.2212201
5,105.0,0.22248062
5,106.0,0.22311088
5,107.0,0.22374113
5,108.0,0.2243714
5,109.0,0.2256319
5,110.0,0.22752269
5,111.0,0.22878319
5,112.0,0.22941345
5,113.0,0.23067395
5,114.0,0.23193447
5,115.0,0.23319499
5,116.0,0.23382524
5,117.0,0.23508576
5,118.0,0.23634627
5,119.0,0.23760678
5,120.0,0.23823702
5,123.0,0.24264884
5,124.0,0.2432791
5,125.0,0.2445396
5,126.0,0.24580012
5,127.0,0.24580012
5,128.0,0.24706064
5,129.0,0.24832116
5,130.0,0.24958166
5,131.0,0.25084215
5,132.0,0.25084215
5,133.0,0.25147244
5,134.0,0.25210267
5,135.0,0.25273296
5,136.0,0.25399345
5,137.0,0.25588423
5,138.0,0.2565145
5,139.0,0.25714475
5,140.0,0.25714475
5,141.0,0.25777498
5,142.0,0.25777498
5,143.0,0.2590355
5,144.0,0.2590355
5,145.0,0.26029602
5,146.0,0.26092628
5,147.0,0.26155654
5,148.0,0.2621868
5,149.0,0.26281705
5,150.0,0.26407757
5,151.0,0.2647078
5,152.0,0.2653381
5,153.0,0.2665986
5,154.0,0.26722884
5,155.0,0.2678591
5,156.0,0.26848936
5,157.0,0.2703801
5,158.0,0.27290115
5,159.0,0.27479193
5,160.0,0.2766827
5,161.0,0.27857345
5,162.0,0.27920374
5,165.0,0.2873971
5,168.0,0.29369962
5,171.0,0.30252323
5,174.0,0.31134683
5,177.0,0.32206118
5,180.0,0.32836375
6,-216.0,0.09895031
6,-213.0,0.10147133
6,-210.0,0.103362106
6,-207.0,0.10525288
6,-204.0,0.10651338
6,-201.0,0.10966467
6,-200.0,0.11029493
6,-199.0,0.11029493
6,-198.0,0.10966467
